ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
8580	243,637,161,347,833,665,1184,587,248,1326,995,988,339,355,2083,361	31,73,17,34,70,59,85,91,63,213,55,129,59,8,78,55			298	149
13714	293,330,119,259,308,320,379,262,198,68,271,244,28,110,529,207	135,3,1,13,5,13,5,8,3,9,2,0,5,12,12,2			238	149
43344	34,64,93,88,159,64,73,66,47,162,54,132,209,92,81,42	12,11,10,18,5,17,5,10,7,45,13,16,12,18,12,11			233	149
48104	61,65,15,117,82,130,117,75,115,168,125,82,10,36,182,133	108,87,28,179,234,131,198,101,71,160,97,91,6,38,153,126			237	149
66005	358,133,63,205,158,159,251,185,397,318,225,229,44,118,390,379	66,40,6,42,64,90,52,39,23,24,50,15,8,22,51,52			298	149
97372	42,98,18,48,111,43,83,53,39,76,60,53,17,17,65,30	58,70,17,87,116,167,145,119,280,89,100,77,30,25,118,89			206	149
119182	202,49,20,123,61,271,85,98,341,23,276,134,25,210,233,290	160,19,3,39,10,42,24,10,33,2,37,33,0,14,15,48			298	149
120773	236,126,48,158,115,155,167,161,277,317,176,260,82,83,185,315	5,5,1,4,6,10,9,16,33,16,10,13,3,5,3,30			298	149
131604	2,0,0,3,0,4,4,0,0,0,1,0,0,0,2,0	152,435,67,216,463,453,580,177,98,19,648,74,9,43,1609,219			298	149
194597	139,100,37,300,232,350,230,198,478,170,167,273,41,61,339,588	60,21,7,10,33,80,16,24,113,77,43,39,9,5,72,94			181	149
195109	1104,1173,527,1369,1902,1401,1194,1128,1848,4572,1535,1524,410,1767,1576,1852	429,561,209,303,560,760,543,543,1427,1191,602,790,158,603,732,1259			196	149
224828	225,306,37,75,275,158,246,150,207,135,95,223,163,103,352,184	29,3,2,12,8,38,6,7,26,9,2,6,3,1,8,14			253	149
