SJ	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
chr19:7593857:7593986	213	285	11	149	139	103	185	220	3	119
chr19:7594089:7594475	203	231	13	110	115	142	184	149	7	97
chr19:7593857:7594475	0	0	0	0	0	0	0	0	0	0
chr22:21331228:21331320	40	30	36	0	3	0	23	8	2	10
chr22:21331385:21331988	40	12	32	1	5	0	20	3	1	5
chr22:21331228:21331988	0	0	0	0	0	0	0	0	0	0
chr7:105733584:105736738	19	11	3	0	28	0	116	22	132	53
chr7:105736749:105738135	11	8	1	0	21	0	115	13	118	45
chr7:105733584:105738135	11	36	182	958	41	38	70	413	42	58
chr3:99536888:99770075	0	0	1	0	0	0	0	0	0	0
chr3:99770151:99865816	0	0	0	0	0	1	0	0	0	0
chr3:99536888:99865816	9	131	193	340	18	140	29	0	7	23
chr20:23375823:23377708	8	13	18	63	52	49	88	35	36	10
chr20:23377826:23383629	3	4	26	46	38	46	67	18	42	3
chr20:23375823:23383629	7	9	9	16	16	17	9	3	3	15
chr7:138763400:138763849	2	2	3	20	2	17	0	1	5	20
chr7:138764990:138768525	17	8	8	135	25	80	0	10	32	114
chr7:138763400:138768525	0	0	0	0	0	0	0	0	0	1
chr1:9796101:9797555	0	10	13	14	11	39	9	50	22	27
chr1:9797613:9801151	0	7	8	12	5	23	5	36	15	19
chr1:9796101:9801151	70	960	78	452	552	881	323	1308	1050	1373
chr21:27354791:27369674	237	813	173	140	164	16	161	151	1867	458
chr21:27369732:27394155	1	1	2	0	5	1	3	7	12	9
chr21:27354791:27394155	61	43	367	5	181	7	34	1193	266	417
chr16:2162965:2163041	135	109	76	29	154	114	117	63	24	144
chr16:2163061:2163161	8	6	7	2	5	7	1	1	1	4
chr16:2162965:2163161	11	11	8	6	8	15	18	19	7	12
chr11:118651894:118656760	34	140	196	100	63	105	58	320	26	74
chr11:118657228:118661806	13	53	44	20	21	31	24	47	10	27
chr11:118651894:118661806	0	0	0	0	0	0	0	0	0	0
