P36575	ENSG00000120500
Q96B67	ENSG00000113369
P51690	ENSG00000157399
Q5FYB1	ENSG00000183876
Q5FYB0	ENSG00000180801
Q6UWY0	ENSG00000164291
Q5T4W7	ENSG00000117407
Q9H2C2	ENSG00000173409
Q8WXH4	ENSG00000165192
Q8WXK3	ENSG00000196372
Q6XD76	ENSG00000187855
Q9Y294	ENSG00000111875
P08243	ENSG00000070669
Q96KQ4	ENSG00000088808
Q6HA08	ENSG00000188886
O14525	ENSG00000152092
Q9UN42	ENSG00000101892
P98194	ENSG00000017260
P24539	ENSG00000116459
Q06055	ENSG00000135390
Q96QE3	ENSG00000176208
P18846	ENSG00000123268
Q9Y2D1	ENSG00000169136
Q9UII2	ENSG00000130770
Q8N6G6	ENSG00000178031
P82987	ENSG00000156218
Q6DD88	ENSG00000184743
O43313	ENSG00000166454
Q13315	ENSG00000149311
P35670	ENSG00000123191
O43861	ENSG00000166377
P36542	ENSG00000165629
Q8NCT1	ENSG00000140450
O00192	ENSG00000099889
Q8TDY4	ENSG00000088280;ENSG00000282854
Q8WXK4	ENSG00000198881
Q8WXK1	ENSG00000146809
Q8WXJ9	ENSG00000154007
Q9Y576	ENSG00000065802
Q9Y575	ENSG00000115239
Q8WWX0	ENSG00000164122
Q9H672	ENSG00000183475
Q9H765	ENSG00000177981
Q96DX5	ENSG00000102048
Q99929	ENSG00000183734
P07306	ENSG00000141505
Q9UBL3	ENSG00000129691
Q92485	ENSG00000130768
Q9NWL6	ENSG00000138381
Q76L83	ENSG00000143970
Q9ULK2	ENSG00000146776
Q14CW9	ENSG00000087152
Q9NTI2	ENSG00000132932
O43520	ENSG00000081923
Q8TF62	ENSG00000104043
Q8NBU5	ENSG00000138138;ENSG00000283024
Q9NVI7	ENSG00000197785
O95260	ENSG00000107669
Q96BY7	ENSG00000066739
Q96DT6	ENSG00000125703
O75947	ENSG00000167863
Q04656	ENSG00000165240
P30049	ENSG00000099624
Q86TL0	ENSG00000130734
Q7Z3C6	ENSG00000198925
Q9BSB4	ENSG00000123395
O14965	ENSG00000087586
Q6E213	ENSG00000147160
Q3ZCQ2	ENSG00000177721
A6NMY6	
O75752	ENSG00000169255
Q9NY97	ENSG00000170340
Q9BYG0	ENSG00000176597
Q67FW5	ENSG00000175711;ENSG00000277033
O96024	ENSG00000206285;ENSG00000236802;ENSG00000235155;ENSG00000226936;ENSG00000235863
Q00973	ENSG00000135454
O60909	ENSG00000117411
Q9BPU9	ENSG00000123810
Q14032	ENSG00000136881;ENSG00000276559
O14867	ENSG00000156273
O75531	ENSG00000175334
Q99933	ENSG00000107262
Q86Y27	
Q9P281	
Q8TBE0	ENSG00000140320
O94812	ENSG00000007516
Q16611	ENSG00000030110
Q13145	ENSG00000095739
Q8IXM2	ENSG00000258315
O15144	ENSG00000163466
Q7Z6K5	ENSG00000242498
Q8N5I2	ENSG00000197070
P51689	ENSG00000006756
P54793	ENSG00000062096
Q96EG1	ENSG00000141337
Q96QS3	ENSG00000004848
P18440	ENSG00000171428
P0C7U1	ENSG00000204147
Q13510	ENSG00000104763
Q9NR71	ENSG00000188611
O43150	ENSG00000151693
Q8WXI3	ENSG00000146926
Q8N9N2	ENSG00000138303
Q8N3C0	ENSG00000112249
Q9NVP2	ENSG00000105011
P78348	ENSG00000110881
Q16515	ENSG00000108684
Q9BZE9	ENSG00000169696
A6ND91	ENSG00000204653
Q8WWH4	ENSG00000154438
O14983	ENSG00000196296
Q93084	ENSG00000074370
Q16720	ENSG00000067842
P23634	ENSG00000058668
O75185	ENSG00000064270
P48201	ENSG00000154518
O60423	ENSG00000130270
P0DMR3	
Q5SQI0	ENSG00000223752;ENSG00000137343;ENSG00000235658;ENSG00000231257;ENSG00000206488;ENSG00000229061;ENSG00000234549
Q86WG3	ENSG00000167654
Q9ULI0	ENSG00000119778
Q5T2N8	ENSG00000215915
P18850	ENSG00000118217
P20648	ENSG00000105675
P49418	ENSG00000078053
