AC	GeneName	chr	strand	exonStart	exonEnd	upstreamEE	downstreamES	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
ENSG00000090674	MCOLN1	chr19	+	7593986	7594088	7593856	7594475	1.0	NaN	NaN	NaN	NaN	NaN	1.0	NaN	NaN	1.0
ENSG00000183773	AIFM3	chr22	+	21331320	21331384	21331227	21331988	1.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000008282	SYPL1	chr7	-	105736738	105736748	105733583	105738135	0.5792	0.1807	0.0099	0.0	0.381	0.0	0.5996	0.0401	0.7376	0.4413
ENSG00000184220	CMSS1	chr3	+	99770075	99770150	99536887	99865816	NaN	0.0	0.003	0.0	0.0	0.0044	0.0	NaN	NaN	0.0
ENSG00000125814	NAPB	chr20	-	23377708	23377825	23375822	23383629	0.44	0.4857	0.7097	0.773	0.7377	0.742	0.896	0.8983	0.9286	0.3023
ENSG00000105939	ZC3HAV1	chr7	-	138763849	138764989	138763399	138768525	NaN	NaN	NaN	1.0	NaN	1.0	NaN	NaN	NaN	0.9853
ENSG00000171603	CLSTN1	chr1	-	9797555	9797612	9796100	9801151	0.0	0.0082	0.1272	0.028	0.0131	0.0341	0.0206	0.0354	0.0167	0.0172
ENSG00000142192	APP	chr21	-	27369674	27369731	27354790	27394155	0.582	0.8617	0.1689	0.9306	0.3113	0.549	0.7069	0.0516	0.7034	0.3077
ENSG00000008710	PKD1	chr16	-	2163041	2163060	2162964	2163161	0.728	0.7432	0.7465	0.594	0.8069	0.685	0.5441	0.3865	0.5327	0.7358
ENSG00000110367	DDX6	chr11	-	118656760	118657227	118651893	118661806	NaN	1.0	1.0	NaN	NaN	NaN	NaN	1.0	NaN	NaN
