ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
34517	"ENSG00000137842.6_3"	"TMEM62"	chr15	+	43470804	43470909	43461790	43461875	43473378	43473497
51809	"ENSG00000163681.14_3"	"SLMAP"	chr3	+	57911571	57911661	57908615	57908750	57913022	57913213
64939	"ENSG00000090554.12_3"	"FLT3LG"	chr19	+	49982219	49982304	49979679	49979823	49983554	49983733
64969	"ENSG00000116001.15_3"	"TIA1"	chr2	-	70456190	70456223	70454866	70454954	70456395	70456450
68704	"ENSG00000184381.18_3"	"PLA2G6"	chr22	-	38524275	38524437	38522377	38522456	38525460	38525569
75710	"ENSG00000154370.15_3"	"TRIM11"	chr1	-	228588664	228588895	228584843	228584866	228589766	228589862
76672	"ENSG00000077458.12_2"	"FAM76B"	chr11	-	95512241	95512299	95511985	95512121	95512770	95512851
77359	"ENSG00000089159.16_3"	"PXN"	chr12	-	120657009	120657894	120652905	120653076	120659425	120659561
86641	"ENSG00000125970.11_3"	"RALY"	chr20	+	32661624	32661672	32661368	32661441	32663679	32663845
91362	"ENSG00000117625.13_3"	"RCOR3"	chr1	+	211486061	211486303	211474802	211477482	211486765	211487181
15225	"ENSG00000137814.10_2"	"HAUS2"	chr15	+	42852979	42853068	42851536	42851606	42853467	42853497
58989	"ENSG00000169919.16_2"	"GUSB"	chr7	-	65444713	65444898	65444385	65444528	65445210	65445396
